molecule_chembl_id,pchembl_value,relation,type,value
CHEMBL564450,9.85,=,IC50,0.00014
CHEMBL3957649,9.70,=,IC50,0.2
CHEMBL3942619,9.70,=,IC50,0.2
CHEMBL3963605,9.70,=,IC50,0.2
CHEMBL2386090,9.70,=,IC50,0.2
CHEMBL4077376,9.70,=,IC50,0.2
CHEMBL4063206,9.70,=,IC50,0.2
CHEMBL3091542,9.64,=,IC50,0.23
CHEMBL491647,9.64,=,IC50,0.23
CHEMBL4076186,9.60,=,IC50,0.25
CHEMBL3410091,9.54,=,IC50,0.29
CHEMBL181031,9.52,=,IC50,0.3
CHEMBL477038,9.46,=,IC50,0.35
CHEMBL3410092,9.43,=,IC50,0.37
CHEMBL4076060,9.40,=,IC50,0.4
CHEMBL4087402,9.40,=,IC50,0.4
CHEMBL1082153,9.40,=,IC50,0.4
CHEMBL3410090,9.35,=,IC50,0.45
CHEMBL3091541,9.33,=,IC50,0.47
CHEMBL4095848,9.30,=,IC50,0.5
CHEMBL4468662,9.29,=,IC50,0.508
CHEMBL489833,9.29,=,IC50,0.51
CHEMBL2386093,9.28,=,IC50,0.53
CHEMBL1080901,9.25,=,IC50,0.56
CHEMBL1940976,9.24,=,IC50,0.57
CHEMBL2386091,9.23,=,IC50,0.59
CHEMBL1940990,9.22,=,IC50,0.6
CHEMBL3185148,9.22,=,IC50,0.0006
CHEMBL1082152,9.22,=,IC50,0.6
CHEMBL3091544,9.19,=,IC50,0.64
CHEMBL270265,9.15,=,IC50,0.7
CHEMBL4084151,9.14,=,IC50,0.73
CHEMBL490636,9.14,=,IC50,0.73
CHEMBL4802108,9.14,=,IC50,0.73
CHEMBL260138,9.10,=,IC50,800.0
CHEMBL4065818,9.10,=,IC50,0.8
CHEMBL260417,9.10,=,IC50,0.8
CHEMBL3410111,9.08,=,IC50,0.83
CHEMBL1940981,9.07,=,IC50,0.86
CHEMBL2386272,9.06,=,IC50,0.87
CHEMBL3091540,9.06,=,IC50,0.87
CHEMBL522590,9.02,=,IC50,0.95
CHEMBL260664,9.00,=,IC50,1.0
CHEMBL261129,9.00,=,IC50,1.0
CHEMBL1082151,9.00,=,IC50,1.0
CHEMBL1940986,9.00,=,IC50,1.0
CHEMBL2048663,9.00,=,IC50,1.0
CHEMBL495727,9.00,=,IC50,1.0
CHEMBL1957949,9.00,=,IC50,0.001
CHEMBL3943813,9.00,=,IC50,1.0
CHEMBL362558,8.96,=,IC50,1.1
CHEMBL4165510,8.96,=,IC50,0.0011
CHEMBL3410089,8.96,=,IC50,1.1
CHEMBL4067532,8.96,=,IC50,1.1
CHEMBL4077048,8.92,=,IC50,1.2
CHEMBL4105346,8.92,=,IC50,1.2
CHEMBL490842,8.92,=,IC50,1.2
CHEMBL4164416,8.89,=,IC50,0.0013
CHEMBL4162850,8.89,=,IC50,0.0013
CHEMBL363058,8.89,=,IC50,1.3
CHEMBL4521500,8.86,=,IC50,1.37
CHEMBL1940979,8.85,=,IC50,1.4
CHEMBL4579826,8.85,=,IC50,1.42
CHEMBL3719193,8.85,=,IC50,1.4
CHEMBL2203552,8.83,=,IC50,1.491
CHEMBL270473,8.82,=,IC50,1.5
CHEMBL362588,8.80,=,IC50,1.6
CHEMBL4169204,8.80,=,IC50,0.0016
CHEMBL4104714,8.77,=,IC50,1.7
CHEMBL4071429,8.77,=,IC50,1.7
CHEMBL4065624,8.74,=,IC50,1.8
CHEMBL54547,8.74,=,IC50,1.8
CHEMBL1081973,8.74,=,IC50,1.8
CHEMBL4085821,8.74,=,IC50,1.8
CHEMBL2386092,8.72,=,IC50,1.9
CHEMBL526110,8.70,=,IC50,0.002
CHEMBL4172295,8.70,=,IC50,0.002
CHEMBL549953,8.70,=,IC50,0.002
CHEMBL4098458,8.70,=,IC50,2.0
CHEMBL4088777,8.70,=,IC50,2.0
CHEMBL2048685,8.70,=,IC50,2.0
CHEMBL2048660,8.70,=,IC50,2.0
CHEMBL2048684,8.70,=,IC50,2.0
CHEMBL233970,8.70,=,IC50,0.002
CHEMBL2048680,8.70,=,IC50,2.0
CHEMBL3949218,8.68,=,IC50,2.1
CHEMBL4074586,8.66,=,IC50,2.2
CHEMBL4072455,8.64,=,IC50,2.3
CHEMBL516640,8.64,=,IC50,2.3
CHEMBL1230134,8.64,=,IC50,2.3
CHEMBL1088149,8.62,=,IC50,2.4
CHEMBL3410094,8.62,=,IC50,2.4
CHEMBL3410096,8.62,=,IC50,2.4
CHEMBL1940989,8.62,=,IC50,2.4
CHEMBL513570,8.60,=,IC50,2.5
CHEMBL3085387,8.60,=,IC50,2.5
CHEMBL4073837,8.59,=,IC50,2.6
CHEMBL178737,8.59,=,IC50,2.6
CHEMBL4093559,8.57,=,IC50,2.7
CHEMBL4449746,8.56,=,IC50,2.75
CHEMBL1684800,8.56,=,IC50,2.73
CHEMBL6291,8.55,=,IC50,2.8
CHEMBL3091538,8.54,=,IC50,2.9
CHEMBL2048670,8.52,=,IC50,3.0
CHEMBL2048676,8.52,=,IC50,3.0
CHEMBL2048662,8.52,=,IC50,3.0
CHEMBL402902,8.52,=,IC50,3.0
CHEMBL3647955,8.52,=,IC50,3.0
CHEMBL1162963,8.52,=,IC50,0.003
CHEMBL1957956,8.52,=,IC50,0.003
CHEMBL2048677,8.52,=,IC50,3.0
CHEMBL4526183,8.52,=,IC50,0.003
CHEMBL2048681,8.52,=,IC50,3.0
CHEMBL4483032,8.52,=,IC50,0.003
CHEMBL3969156,8.52,=,IC50,3.0
CHEMBL2048682,8.52,=,IC50,3.0
CHEMBL2048678,8.52,=,IC50,3.0
CHEMBL4747992,8.52,=,IC50,0.003
CHEMBL1231352,8.52,=,IC50,3.0
CHEMBL1650951,8.52,=,IC50,3.0
CHEMBL3401132,8.51,=,IC50,3.1
CHEMBL499006,8.51,=,IC50,3.1
CHEMBL1081294,8.49,=,IC50,3.2
CHEMBL3091539,8.49,=,IC50,3.2
CHEMBL4213175,8.47,=,IC50,3.4
CHEMBL489210,8.46,=,IC50,3.5
CHEMBL471833,8.46,=,IC50,3.5
CHEMBL4096472,8.46,=,IC50,3.5
CHEMBL4463440,8.45,=,IC50,3.59
CHEMBL431933,8.44,=,IC50,3.6
CHEMBL3401131,8.43,=,IC50,3.7
CHEMBL2386088,8.43,=,IC50,3.7
CHEMBL4065956,8.42,=,IC50,3.8
CHEMBL4067170,8.41,=,IC50,3.9
CHEMBL2048659,8.40,=,IC50,4.0
CHEMBL103506,8.40,=,IC50,0.004
CHEMBL1830063,8.40,=,IC50,4.0
CHEMBL1276127,8.40,=,IC50,4.0
CHEMBL4632807,8.40,=,IC50,0.004
CHEMBL321315,8.40,=,IC50,0.004
CHEMBL407981,8.40,=,IC50,4.0
CHEMBL4640019,8.40,=,IC50,0.004
CHEMBL111298,8.40,=,IC50,0.004
CHEMBL4093930,8.39,=,IC50,4.1
CHEMBL368248,8.38,=,IC50,4.2
CHEMBL2094331,8.38,=,IC50,0.00419
CHEMBL4101293,8.38,=,IC50,4.2
CHEMBL3401129,8.38,=,IC50,4.2
CHEMBL4089702,8.37,=,IC50,4.3
CHEMBL4100923,8.37,=,IC50,4.3
CHEMBL3410107,8.36,=,IC50,4.4
CHEMBL4543687,8.35,=,IC50,4.43
CHEMBL3091464,8.34,=,IC50,4.6
CHEMBL3410097,8.33,=,IC50,4.7
CHEMBL4078436,8.33,=,IC50,4.7
CHEMBL2386096,8.32,=,IC50,4.8
CHEMBL3401127,8.31,=,IC50,4.9
CHEMBL471430,8.31,=,IC50,4.9
CHEMBL261518,8.30,=,IC50,5.0
CHEMBL368246,8.30,=,IC50,5.0
CHEMBL258483,8.30,=,IC50,5.0
CHEMBL272629,8.30,=,IC50,5.0
CHEMBL259271,8.30,=,IC50,5.0
CHEMBL260416,8.30,=,IC50,5.0
CHEMBL182419,8.30,=,IC50,0.005
CHEMBL359794,8.30,=,IC50,0.005
CHEMBL4755445,8.30,=,IC50,0.005
CHEMBL361196,8.30,=,IC50,0.005
CHEMBL1093747,8.30,=,IC50,5.0
CHEMBL3125370,8.30,=,IC50,5.0
CHEMBL1801637,8.30,=,IC50,0.005
CHEMBL3647956,8.30,=,IC50,5.0
CHEMBL2177161,8.30,=,IC50,5.0
CHEMBL4792678,8.30,=,IC50,0.005
CHEMBL188938,8.30,=,IC50,0.005
CHEMBL492244,8.30,=,IC50,0.005
CHEMBL4077172,8.30,=,IC50,5.0
CHEMBL491447,8.29,=,IC50,5.1
CHEMBL2386106,8.28,=,IC50,5.3
CHEMBL186290,8.28,=,IC50,5.2
CHEMBL2386112,8.28,=,IC50,5.3
CHEMBL4161007,8.28,=,IC50,0.0052
CHEMBL4062791,8.28,=,IC50,5.2
CHEMBL4080891,8.27,=,IC50,5.4
CHEMBL522464,8.27,=,IC50,5.4
CHEMBL4763626,8.26,=,IC50,5.46
CHEMBL512144,8.24,=,IC50,5.7
CHEMBL1092754,8.23,=,IC50,5.9
CHEMBL3410110,8.23,=,IC50,5.9
CHEMBL111005,8.22,=,IC50,0.006
CHEMBL105477,8.22,=,IC50,0.006
CHEMBL260662,8.22,=,IC50,6.0
CHEMBL1957955,8.22,=,IC50,0.006
CHEMBL3735986,8.22,=,IC50,6.0
CHEMBL4643920,8.22,=,IC50,0.006
CHEMBL1086427,8.22,=,IC50,6.0
CHEMBL3652545,8.22,=,IC50,6.0
CHEMBL1682851,8.21,=,IC50,6.1
CHEMBL3735890,8.21,=,IC50,6.1
CHEMBL4747410,8.19,=,IC50,6.5
CHEMBL513878,8.19,=,IC50,6.5
CHEMBL1081617,8.19,=,IC50,6.4
CHEMBL3091543,8.19,=,IC50,6.5
CHEMBL1087242,8.18,=,IC50,6.6
CHEMBL4080483,8.18,=,IC50,6.6
CHEMBL3410106,8.17,=,IC50,6.8
CHEMBL4097431,8.17,=,IC50,6.7
CHEMBL562023,8.15,=,IC50,0.007
CHEMBL261549,8.15,=,IC50,7.0
CHEMBL409738,8.15,=,IC50,7.0
CHEMBL255735,8.15,=,IC50,7.0
CHEMBL2048683,8.15,=,IC50,7.0
CHEMBL264161,8.15,=,IC50,7.0
CHEMBL247067,8.15,=,IC50,0.007
CHEMBL259838,8.15,=,IC50,7.0
CHEMBL1957947,8.15,=,IC50,0.007
