molecule_chembl_id,type,value,units,pchembl_value
CHEMBL2386094,IC50,0.013,nM,10.89
CHEMBL3895998,IC50,0.1,nM,10.0
CHEMBL4084855,IC50,0.1,nM,10.0
CHEMBL564450,IC50,0.00014,uM,9.85
CHEMBL3957649,IC50,0.2,nM,9.7
CHEMBL4063206,IC50,0.2,nM,9.7
CHEMBL2386090,IC50,0.2,nM,9.7
CHEMBL4077376,IC50,0.2,nM,9.7
CHEMBL3942619,IC50,0.2,nM,9.7
CHEMBL3963605,IC50,0.2,nM,9.7
CHEMBL2177173,Ki,0.22,nM,9.66
CHEMBL491647,IC50,0.23,nM,9.64
CHEMBL3091542,IC50,0.23,nM,9.64
CHEMBL4076186,IC50,0.25,nM,9.6
CHEMBL3410091,IC50,0.29,nM,9.54
CHEMBL181031,IC50,0.3,nM,9.52
CHEMBL477038,IC50,0.35,nM,9.46
CHEMBL3410092,IC50,0.37,nM,9.43
CHEMBL4076060,IC50,0.4,nM,9.4
CHEMBL1088011,Ki,0.4,nM,9.4
CHEMBL1088145,Ki,0.4,nM,9.4
CHEMBL4087402,IC50,0.4,nM,9.4
CHEMBL2177163,Ki,0.4,nM,9.4
CHEMBL5175996,IC50,0.4,nM,9.4
CHEMBL1082153,IC50,0.4,nM,9.4
CHEMBL3410090,IC50,0.45,nM,9.35
CHEMBL2182002,Ki,0.46,nM,9.34
CHEMBL3091541,IC50,0.47,nM,9.33
CHEMBL2177174,Ki,0.48,nM,9.32
CHEMBL4095848,IC50,0.5,nM,9.3
CHEMBL489833,IC50,0.51,nM,9.29
CHEMBL4468662,IC50,0.508,nM,9.29
CHEMBL2386093,IC50,0.53,nM,9.28
CHEMBL1080901,IC50,0.56,nM,9.25
CHEMBL1940976,IC50,0.57,nM,9.24
CHEMBL2386091,IC50,0.59,nM,9.23
CHEMBL1082152,IC50,0.6,nM,9.22
CHEMBL3185148,IC50,0.0006,uM,9.22
CHEMBL1940990,IC50,0.6,nM,9.22
CHEMBL3091544,IC50,0.64,nM,9.19
CHEMBL2177165,Ki,0.67,nM,9.17
CHEMBL270265,IC50,0.7,nM,9.15
CHEMBL4802108,IC50,0.73,nM,9.14
CHEMBL490636,IC50,0.73,nM,9.14
CHEMBL4084151,IC50,0.73,nM,9.14
CHEMBL4758595,Ki,0.78,nM,9.11
CHEMBL260417,IC50,0.8,nM,9.1
CHEMBL4856177,IC50,0.8,nM,9.1
CHEMBL1080902,Ki,0.8,nM,9.1
CHEMBL4065818,IC50,0.8,nM,9.1
CHEMBL260138,IC50,800.0,pM,9.1
CHEMBL3410111,IC50,0.83,nM,9.08
CHEMBL1940981,IC50,0.86,nM,9.07
CHEMBL3091540,IC50,0.87,nM,9.06
CHEMBL2386272,IC50,0.87,nM,9.06
CHEMBL5178166,IC50,0.9,nM,9.05
CHEMBL522590,IC50,0.95,nM,9.02
CHEMBL4764153,Ki,0.95,nM,9.02
CHEMBL3943813,IC50,1.0,nM,9.0
CHEMBL495727,IC50,1.0,nM,9.0
CHEMBL1957949,IC50,0.001,uM,9.0
CHEMBL2177177,Ki,0.99,nM,9.0
CHEMBL1082151,IC50,1.0,nM,9.0
CHEMBL261129,IC50,1.0,nM,9.0
CHEMBL260664,IC50,1.0,nM,9.0
CHEMBL2048663,IC50,1.0,nM,9.0
CHEMBL1940986,IC50,1.0,nM,9.0
CHEMBL3410089,IC50,1.1,nM,8.96
CHEMBL4165510,IC50,0.0011,uM,8.96
CHEMBL4067532,IC50,1.1,nM,8.96
CHEMBL2177155,Ki,1.1,nM,8.96
CHEMBL362558,IC50,1.1,nM,8.96
CHEMBL4077048,IC50,1.2,nM,8.92
CHEMBL490842,IC50,1.2,nM,8.92
CHEMBL4105346,IC50,1.2,nM,8.92
CHEMBL4744945,Ki,1.26,nM,8.9
CHEMBL4164416,IC50,0.0013,uM,8.89
CHEMBL4162850,IC50,0.0013,uM,8.89
CHEMBL363058,IC50,1.3,nM,8.89
CHEMBL2182001,Ki,1.3,nM,8.89
CHEMBL4521500,IC50,1.37,nM,8.86
CHEMBL1940979,IC50,1.4,nM,8.85
CHEMBL4763408,Ki,1.41,nM,8.85
CHEMBL4579826,IC50,1.42,nM,8.85
CHEMBL3719193,IC50,1.4,nM,8.85
CHEMBL2203552,IC50,1.491,nM,8.83
CHEMBL270473,IC50,1.5,nM,8.82
CHEMBL2177156,Ki,1.5,nM,8.82
CHEMBL4169204,IC50,0.0016,uM,8.8
CHEMBL362588,IC50,1.6,nM,8.8
CHEMBL4104714,IC50,1.7,nM,8.77
CHEMBL4071429,IC50,1.7,nM,8.77
CHEMBL4758192,Ki,1.72,nM,8.76
CHEMBL4065624,IC50,1.8,nM,8.74
CHEMBL54547,IC50,1.8,nM,8.74
CHEMBL1081973,IC50,1.8,nM,8.74
